iter	Logloss	F1:use_weights=true	F1:use_weights=false
0	0.6679791267	0.5728975395	0.5051813472
1	0.6483009837	0.5278810409	0.4868571429
2	0.6317020934	0.56492891	0.5047425474
3	0.618137393	0.5545023697	0.5043103448
4	0.6081005572	0.5643931991	0.5126020589
5	0.5999877141	0.5533187164	0.5056466302
6	0.594444785	0.5548310611	0.5048543689
7	0.5873535485	0.5494724268	0.500907441
8	0.581070727	0.5534441805	0.5037837838
9	0.5756340362	0.5525430437	0.5027007562
10	0.5722139897	0.55688271	0.5046132009
11	0.5688907572	0.5519699069	0.5021613833
12	0.5665813914	0.5471246006	0.4990892532
13	0.5626768235	0.5567911041	0.5085237577
14	0.5602883694	0.5577342048	0.5088543549
15	0.5582550977	0.5567214413	0.5075812274
16	0.5561792753	0.5640321632	0.5132048537
17	0.554714081	0.5681906995	0.516885887
18	0.5529121067	0.5678529527	0.5167259786
19	0.5520598092	0.5672983004	0.5158081705
20	0.5506469718	0.5635792779	0.5128571429
21	0.5492494731	0.5651404991	0.5150429799
22	0.5480709344	0.5619573796	0.5125989921
23	0.5473168229	0.5642337202	0.5143472023
24	0.546318342	0.5654901961	0.5148161371
25	0.5454578446	0.5693117567	0.5175469692
26	0.5446024244	0.5697560976	0.5182818601
27	0.5430948045	0.5766324356	0.5241282142
28	0.5422621637	0.5778120185	0.5237430168
29	0.5412113228	0.5781460782	0.5242922055
30	0.5405974761	0.5809669992	0.5262426138
31	0.5401270713	0.5809669992	0.5262426138
32	0.5392813565	0.5878764773	0.532274767
33	0.5385281954	0.5890645837	0.5334713596
34	0.5381853734	0.5881904762	0.5324137931
35	0.5372811783	0.5908832987	0.5334699454
36	0.5369511254	0.5928449744	0.5359342916
37	0.5364399792	0.5918908678	0.5351147653
38	0.5356174333	0.5927610385	0.5361672952
39	0.5353162844	0.59360212	0.5368024649
40	0.534973875	0.5929572132	0.5361177679
41	0.5346035545	0.5957285957	0.5388034188
42	0.5338969836	0.5955840725	0.5381991814
43	0.5329987142	0.5963060686	0.5386448757
44	0.5327806644	0.5971385542	0.5392723563
45	0.5319942904	0.59785674	0.5397148676
46	0.5315851009	0.5995877834	0.5407232173
47	0.5312492454	0.6000748223	0.5407956844
48	0.530821423	0.6018691589	0.5426356589
49	0.5301158737	0.6002248033	0.5413991213
50	0.5298938541	0.6	0.5410334347
51	0.5296142381	0.6016838167	0.5426932163
52	0.5291265534	0.6047467763	0.5458839406
53	0.5286745112	0.6051550243	0.5461901551
54	0.5285388076	0.6069428891	0.5480283114
55	0.5279946021	0.6072163021	0.5488340656
56	0.5275120824	0.606762563	0.5480931488
57	0.527188666	0.6072361059	0.5481481481
58	0.5268946042	0.6111421651	0.5523745369
59	0.5267092973	0.6084528021	0.5490591398
60	0.5261663031	0.609538003	0.5504710633
61	0.5254946229	0.6137841352	0.5545485062
62	0.5246262809	0.6137841352	0.5545485062
63	0.5241175327	0.616240267	0.5567839196
64	0.5235100748	0.6162962963	0.5565217391
65	0.5234205164	0.6168085894	0.5570043464
66	0.5231472055	0.6166388734	0.557080683
67	0.5226009743	0.6181146026	0.5580774366
68	0.5219733272	0.6191446029	0.5597589555
69	0.5217568021	0.6200517943	0.5605351171
70	0.5212334195	0.6236837244	0.5643597459
71	0.5203653728	0.6237113402	0.5633521783
72	0.5198538899	0.6227633278	0.5628542848
73	0.5194566447	0.6268436578	0.567423231
74	0.51904029	0.6260357209	0.5661005661
75	0.5185577507	0.6260805591	0.5658244681
76	0.518215818	0.6280991736	0.5677290837
77	0.517855915	0.6270190896	0.5663129973
78	0.5171879431	0.6282568807	0.5676392573
79	0.5163927225	0.6292629263	0.5685884692
80	0.5158447447	0.6298059319	0.5687830688
81	0.5154846236	0.6309632608	0.5696369637
82	0.5150638355	0.6303871439	0.5686985173
83	0.5143843128	0.6343419614	0.5727452271
84	0.5138751021	0.635371179	0.5733990148
85	0.5132545511	0.6378496186	0.5757377049
86	0.5130053033	0.6366606171	0.5741407529
87	0.5122485945	0.6383133406	0.5764937623
88	0.511859413	0.6360989811	0.5742444152
89	0.5114986935	0.637702236	0.5758371635
90	0.5110045385	0.6380813953	0.5761154856
91	0.5105507731	0.6404943657	0.5790338482
92	0.5101476398	0.6413655348	0.5797767564
93	0.5099015938	0.6422351234	0.5805182027
94	0.5093307549	0.6430123099	0.5807717462
95	0.5089520939	0.6441351889	0.5815926893
96	0.5086101982	0.6456038996	0.5829801109
97	0.5082394622	0.646092763	0.5834419817
98	0.5079334343	0.6469314079	0.5844748858
99	0.5076528935	0.6485121731	0.5860495437
