iter	Passed	Remaining
0	2	203
1	4	204
2	5	190
3	7	183
4	9	179
5	11	173
6	12	168
7	14	165
8	15	161
9	17	159
10	19	156
11	21	155
12	22	153
13	24	151
14	26	151
15	28	151
16	30	151
17	32	149
18	34	147
19	36	146
20	38	145
21	40	143
22	42	141
23	44	139
24	45	137
25	47	136
26	49	134
27	51	132
28	53	130
29	54	128
30	56	126
31	58	124
32	60	122
33	62	120
34	64	119
35	65	116
36	67	115
37	68	112
38	70	110
39	72	108
40	73	106
41	75	104
42	77	102
43	79	100
44	81	99
45	82	97
46	84	95
47	86	94
48	88	92
49	90	90
50	92	89
51	94	87
52	96	85
53	97	83
54	99	81
55	101	79
56	103	77
57	104	76
58	106	74
59	108	72
60	110	70
61	112	68
62	114	67
63	115	65
64	117	63
65	119	61
66	121	59
67	123	57
68	124	56
69	126	54
70	128	52
71	129	50
72	131	48
73	133	46
74	134	44
75	136	43
76	138	41
77	139	39
78	141	37
79	142	35
80	144	33
81	146	32
82	147	30
83	149	28
84	150	26
85	152	24
86	154	23
87	155	21
88	157	19
89	158	17
90	160	15
91	162	14
92	163	12
93	165	10
94	166	8
95	168	7
96	169	5
97	171	3
98	173	1
99	174	0
