iter	Passed	Remaining
0	1	192
1	3	183
2	5	176
3	7	170
4	8	166
5	10	162
6	11	158
7	13	155
8	14	151
9	16	149
10	18	146
11	20	147
12	22	147
13	23	147
14	25	144
15	27	141
16	28	139
17	30	137
18	31	135
19	33	133
20	34	130
21	36	129
22	38	127
23	39	126
24	41	124
25	43	123
26	44	121
27	46	119
28	47	117
29	49	115
30	50	113
31	52	112
32	54	110
33	55	108
34	57	106
35	58	104
36	60	102
37	61	100
38	63	99
39	64	97
40	66	95
41	68	93
42	69	92
43	71	90
44	73	89
45	74	87
46	76	85
47	77	84
48	79	82
49	81	81
50	82	79
51	84	78
52	86	76
53	87	74
54	89	73
55	91	71
56	92	70
57	94	68
58	96	66
59	98	65
60	99	63
61	101	62
62	103	60
63	104	58
64	106	57
65	108	55
66	109	54
67	111	52
68	113	50
69	114	49
70	116	47
71	117	45
72	119	44
73	121	42
74	122	40
75	124	39
76	126	37
77	128	36
78	130	34
79	131	32
80	133	31
81	135	29
82	136	28
83	138	26
84	139	24
85	141	23
86	142	21
87	144	19
88	145	18
89	147	16
90	149	14
91	151	13
92	153	11
93	154	9
94	156	8
95	157	6
96	159	4
97	160	3
98	162	1
99	164	0
